11:58:07 - CPU: 3.7% | Memory: 3.1% (1.6 GB)
11:58:08 - CPU: 5.5% | Memory: 3.1% (1.6 GB)
11:58:09 - CPU: 1.6% | Memory: 3.1% (1.6 GB)
11:58:10 - CPU: 1.9% | Memory: 3.1% (1.6 GB)
11:58:11 - CPU: 5.3% | Memory: 3.1% (1.6 GB)
11:58:12 - CPU: 5.2% | Memory: 3.1% (1.6 GB)
11:58:13 - CPU: 5.9% | Memory: 3.1% (1.6 GB)
11:58:14 - CPU: 5.2% | Memory: 3.1% (1.6 GB)
11:58:15 - CPU: 4.8% | Memory: 3.1% (1.6 GB)
11:58:16 - CPU: 42.6% | Memory: 3.2% (1.7 GB)
11:58:17 - CPU: 13.0% | Memory: 3.2% (1.7 GB)
11:58:18 - CPU: 5.1% | Memory: 3.2% (1.7 GB)
11:58:19 - CPU: 37.8% | Memory: 3.3% (1.8 GB)
11:58:20 - CPU: 5.9% | Memory: 3.3% (1.8 GB)
11:58:21 - CPU: 6.3% | Memory: 3.3% (1.7 GB)
11:58:22 - CPU: 6.3% | Memory: 3.3% (1.7 GB)
11:58:23 - CPU: 6.4% | Memory: 3.3% (1.7 GB)
11:58:24 - CPU: 6.4% | Memory: 3.3% (1.7 GB)
11:58:26 - CPU: 6.3% | Memory: 3.3% (1.7 GB)
11:58:27 - CPU: 6.5% | Memory: 3.3% (1.7 GB)
11:58:28 - CPU: 6.3% | Memory: 3.3% (1.7 GB)
11:58:29 - CPU: 6.2% | Memory: 3.2% (1.7 GB)
11:58:30 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:58:31 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:58:32 - CPU: 6.2% | Memory: 3.2% (1.7 GB)
11:58:33 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:58:34 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:58:35 - CPU: 6.2% | Memory: 3.2% (1.7 GB)
11:58:36 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:58:37 - CPU: 6.6% | Memory: 3.2% (1.7 GB)
11:58:38 - CPU: 17.6% | Memory: 3.2% (1.7 GB)
11:58:39 - CPU: 30.2% | Memory: 3.3% (1.8 GB)
11:58:40 - CPU: 6.2% | Memory: 3.3% (1.8 GB)
11:58:41 - CPU: 6.3% | Memory: 3.3% (1.8 GB)
11:58:42 - CPU: 6.4% | Memory: 3.3% (1.8 GB)
11:58:43 - CPU: 6.2% | Memory: 3.3% (1.7 GB)
11:58:44 - CPU: 6.3% | Memory: 3.3% (1.7 GB)
11:58:45 - CPU: 6.2% | Memory: 3.3% (1.7 GB)
11:58:46 - CPU: 6.4% | Memory: 3.3% (1.7 GB)
11:58:47 - CPU: 6.3% | Memory: 3.3% (1.7 GB)
11:58:48 - CPU: 6.3% | Memory: 3.3% (1.7 GB)
11:58:49 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:58:50 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:58:51 - CPU: 6.2% | Memory: 3.2% (1.7 GB)
11:58:52 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:58:53 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:58:54 - CPU: 6.2% | Memory: 3.2% (1.7 GB)
11:58:55 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:58:56 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:58:57 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:58:58 - CPU: 7.4% | Memory: 3.4% (1.9 GB)
11:58:59 - CPU: 36.7% | Memory: 3.8% (2.1 GB)
11:59:00 - CPU: 50.1% | Memory: 3.8% (2.1 GB)
11:59:01 - CPU: 50.0% | Memory: 3.8% (2.1 GB)
11:59:02 - CPU: 50.1% | Memory: 3.8% (2.1 GB)
11:59:03 - CPU: 50.1% | Memory: 3.8% (2.1 GB)
11:59:04 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:59:05 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:59:06 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:59:07 - CPU: 50.0% | Memory: 3.7% (2.1 GB)
11:59:08 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:59:09 - CPU: 48.3% | Memory: 3.7% (2.1 GB)
11:59:10 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:59:11 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
